Code,nama,nama.1,energi_kkal,protein_g,lemak_g,karbohidrat_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitamin_c_mg,isValidated,validatedBy
B501000,gulungan,gulungan,248.087953968,35.802,0.0,7.429,0.0,1.352,9.0,0.068,0.0,0.153,0.0,0.0,0.765,3.158,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
B506000,Gulung dengan biji minyak,Gulung dengan biji minyak,263.862332544,34.342,0.0,8.156,0.0,3.647,9.0,0.143,0.0,1.937,0.0,0.0,0.916,3.311,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
B521000,Gulungan gandum hitam,Gulungan gandum hitam,222.992351688,38.222,0.0,6.383,0.0,0.968,33.0,0.143,0.0,0.403,0.0,0.0,1.199,6.047,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
B601011,roti renyah,roti renyah,359.464626944,7.0,0.0,10.762,0.0,1.958,14.0,0.116,0.0,0.221,0.0,0.0,1.166,4.575,0.0,0.0,0.0,6.0,0.0,True,www.nutrisurvey.de
B770300,Roti Graham,Roti Graham,212.476099304,40.835,0.0,7.722,0.0,1.459,20.0,0.164,0.0,1.0,0.0,0.0,3.458,6.426,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
B780500,pompanikel,pompanikel,187.858508496,44.085,0.0,6.485,0.0,0.959,31.0,0.102,0.0,0.635,0.0,0.0,1.329,8.677,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
B781211,baguette,baguette,248.087953968,35.802,0.0,7.429,0.0,1.352,9.0,0.068,0.0,0.153,0.0,0.0,0.765,3.158,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
B782011,Roti pipih,Roti pipih,235.42064996,39.062,0.0,7.052,0.0,1.283,9.0,0.076,0.0,0.145,0.0,0.0,0.764,2.998,0.0,0.0,0.0,4.0,0.0,True,www.nutrisurvey.de
B821000,berkembang biak,berkembang biak,358.269598264,6.801,0.0,10.1,0.0,2.1,0.0,0.2,0.0,0.4,0.0,0.0,0.8,5.3,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C111001,gandum utuh,gandum utuh,313.09751416,13.031,0.0,11.73,0.0,2.0,17.0,0.459,0.0,1.0,0.0,0.0,5.1,10.3,0.0,0.0,0.0,3.0,0.0,True,www.nutrisurvey.de
C114011,bibit gandum,bibit gandum,313.814531368,2.218,0.0,26.6,0.0,9.2,131.0,2.01,0.0,21.155,0.0,0.0,4.52,17.65,0.0,0.0,0.0,10.0,0.0,True,www.nutrisurvey.de
C116001,semolina gandum,semolina gandum,325.764818168,13.1,0.0,9.56,0.0,0.79,30.0,0.12,0.0,0.8,0.0,0.0,1.3,7.12,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C121001,gandum hitam,gandum hitam,294.216061016,13.7,0.0,9.0,0.0,1.7,30.0,0.35,0.0,1.35,0.0,0.0,1.81,14.0,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
C131011,Oat gandum utuh,Oat gandum utuh,353.250477808,12.752,0.0,11.69,0.0,7.09,50.0,0.52,0.0,0.47,0.0,0.0,2.37,5.57,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C133001,Serpihan gandum,Serpihan gandum,369.980879328,10.001,0.0,12.53,0.0,7.0,63.0,0.59,0.0,0.8,0.0,0.0,1.0,5.43,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C141001,gandum gandum,gandum gandum,319.789674768,11.451,0.0,9.84,0.0,2.1,1.0,0.43,0.0,0.31,0.0,0.0,4.8,9.8,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C148211,Pot jelai baik-baik saja,Pot jelai baik-baik saja,339.627150856,12.201,0.0,9.65,0.0,1.36,1.0,0.092,0.0,0.08,0.0,0.0,3.1,4.63,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C200011,Tepung tepung,Tepung tepung,336.759082024,13.85,0.0,9.8,0.0,1.0,10.0,0.06,0.0,0.176,0.0,0.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C211011,Tepung gandum utuh,Tepung gandum utuh,309.034416648,14.999,0.0,11.41,0.0,2.36,30.0,0.47,0.0,1.4,0.0,0.0,5.2,10.0,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
C213211,Tepung Terigu Tipe 1050,Tepung Terigu Tipe 1050,334.130018928,13.7,0.0,11.23,0.0,1.75,30.0,0.43,0.0,0.39,0.0,0.0,1.42,5.22,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C214111,Tepung terigu halus Type 405,Tepung terigu halus Type 405,336.759082024,13.85,0.0,9.8,0.0,1.0,10.0,0.06,0.0,0.176,0.0,0.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C214211,Tepung terigu halus Type 550,Tepung terigu halus Type 550,337.476099232,13.7,0.0,9.84,0.0,1.13,10.0,0.11,0.0,0.2,0.0,0.0,0.5,4.1,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C217001,dedak gandum,dedak gandum,172.323135656,10.156,0.0,14.85,0.0,4.65,82.0,0.65,0.0,1.609,0.0,0.0,17.7,45.39,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
C221011,Tepung gandum hitam,Tepung gandum hitam,294.216061016,13.7,0.0,9.0,0.0,1.7,30.0,0.35,0.0,1.35,0.0,0.0,1.81,14.0,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
C223311,Tepung gandum hitam Tipe 1150,Tepung gandum hitam Tipe 1150,318.355640352,13.6,0.0,8.31,0.0,1.3,50.0,0.22,0.0,0.6,0.0,0.0,1.15,8.6,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C311001,Gandum gandum hijau,Gandum gandum hijau,324.569789488,12.5,0.0,10.76,0.0,2.7,30.0,0.3,0.0,0.22,0.0,0.0,1.5,8.8,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C320001,Soba,Soba,340.5831738,12.798,0.0,9.07,0.0,1.73,7.0,0.24,0.0,0.2,0.0,0.0,2.9,3.7,0.0,0.0,0.0,2.0,0.0,True,www.nutrisurvey.de
C331011,gandum utuh millet,gandum utuh millet,330.783938624,7.469,0.0,9.6,0.0,3.6,1.0,0.26,0.0,0.05,0.0,0.0,1.8,13.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C332001,Biji millet dikupas,Biji millet dikupas,353.967495016,11.389,0.0,9.84,0.0,3.9,1.0,0.433,0.0,0.1,0.0,0.0,1.8,3.8,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C333011,Serpihan millet,Serpihan millet,353.967495016,11.389,0.0,9.84,0.0,3.9,1.0,0.433,0.0,0.1,0.0,0.0,1.8,3.8,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C341001,gandum utuh jagung,gandum utuh jagung,331.02294436,12.271,0.0,8.54,0.0,3.8,40.0,0.36,0.0,1.5,0.0,0.0,1.5,9.2,0.0,0.0,0.0,185.0,0.0,True,www.nutrisurvey.de
C346011,semolina jagung,semolina jagung,345.124282784,11.0,0.0,8.8,0.0,1.1,40.0,0.13,0.0,0.52,0.0,0.0,1.2,5.0,0.0,0.0,0.0,44.0,0.0,True,www.nutrisurvey.de
C351001,Beras tidak dikuliti,Beras tidak dikuliti,349.665391768,13.097,0.0,7.22,0.0,2.2,1.0,0.41,0.0,0.562,0.0,0.0,5.2,2.222,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C351022,Nasi yang belum dikuliti sudah matang,Nasi yang belum dikuliti sudah matang,112.093690184,72.078,0.0,2.558,0.0,0.779,0.0,0.081,0.0,0.215,0.0,0.0,1.535,0.813,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C352001,Beras dikuliti,Beras dikuliti,348.94837456,12.9,0.0,6.83,0.0,0.62,1.0,0.06,0.0,0.1,0.0,0.0,1.3,1.39,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C352022,Nasi yang sudah dikupas sudah matang,Nasi yang sudah dikupas sudah matang,92.973231304,76.716,0.0,2.025,0.0,0.184,0.0,0.01,0.0,0.032,0.0,0.0,0.321,0.426,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C359011,Nasi setengah matang,Nasi setengah matang,351.33843192,12.0,0.0,6.5,0.0,0.5,1.0,0.44,0.0,0.214,0.0,0.0,3.5,1.4,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C359022,Nasi setengah matang sudah matang,Nasi setengah matang sudah matang,107.791586936,72.897,0.0,2.221,0.0,0.171,0.0,0.084,0.0,0.079,0.0,0.0,0.997,0.494,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C446001,Tepung jagung,Tepung jagung,351.099426184,12.6,0.0,0.4,0.0,0.08,20.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C512011,muesli,muesli,351.577437656,11.48,0.0,10.425,0.0,7.266,31.0,0.424,0.0,2.982,0.0,0.0,2.256,8.062,0.0,0.0,0.0,10.0,0.0,True,www.nutrisurvey.de
C512301,Buah-Muesli,Buah-Muesli,340.105162328,12.578,0.0,9.943,0.0,6.041,32.0,0.404,0.0,2.286,0.0,0.0,2.275,8.479,0.0,0.0,0.0,29.0,0.0,True,www.nutrisurvey.de
C513301,Muesli dengan coklat,Muesli dengan coklat,390.057361152,9.038,0.0,9.79,0.0,11.781,25.0,0.346,0.0,1.736,0.0,0.0,1.919,6.802,0.0,0.0,0.0,16.0,0.0,True,www.nutrisurvey.de
C515001,serpihan jagung,serpihan jagung,355.640535168,5.702,0.0,7.15,0.0,0.6,1.0,0.06,0.0,0.1,0.0,0.0,1.4,4.0,0.0,0.0,0.0,28.0,0.0,True,www.nutrisurvey.de
C516011,Keripik nasi,Keripik nasi,377.62906288,3.001,0.0,6.1,0.0,0.9,1.0,1.0,0.0,0.33,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C520011,Serpihan biji-bijian,Serpihan biji-bijian,369.980879328,10.001,0.0,12.53,0.0,7.0,63.0,0.59,0.0,0.8,0.0,0.0,1.0,5.43,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C529611,Serpihan multi-butir dengan gula madu dipanggang,Serpihan multi-butir dengan gula madu dipanggang,315.48757152,12.72,0.0,9.497,0.0,1.734,27.0,0.31,0.0,0.885,0.0,0.0,3.394,9.94,0.0,0.0,0.0,1.0,0.0,True,www.nutrisurvey.de
C532011,Nasi kembung,Nasi kembung,390.057361152,2.497,0.0,7.5,0.0,2.3,1.0,0.11,0.0,0.22,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C532611,Nasi kembung dengan gula madu dipanggang,Nasi kembung dengan gula madu dipanggang,383.60420628,4.231,0.0,6.82,0.0,2.08,3.0,0.085,0.0,0.199,0.0,0.0,2.589,1.808,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
C533011,jagung popcorn,jagung popcorn,369.024856384,4.001,0.0,12.7,0.0,5.0,40.0,0.3,0.0,2.16,0.0,0.0,1.2,10.0,0.0,0.0,0.0,80.0,0.0,True,www.nutrisurvey.de
D010011,Pretzel,Pretzel,340.105162328,12.001,0.0,9.411,0.0,2.61,11.0,0.082,0.0,0.221,0.0,0.0,0.476,4.103,0.0,0.0,0.0,11.0,0.0,True,www.nutrisurvey.de
D020011,Pretzel asin,Pretzel asin,347.036328672,8.998,0.0,9.0,0.0,0.5,5.0,0.01,0.0,0.4,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
D030011,Kue kering,Kue kering,365.439770344,8.501,0.0,9.19,0.0,4.3,5.0,0.13,0.0,0.19,0.0,0.0,1.3,5.2,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
D041011,Ikal kacang,Ikal kacang,529.636710976,3.0,0.0,9.69,0.0,34.678,24.0,0.177,0.0,4.552,0.0,0.0,3.257,4.898,0.0,0.0,0.0,27.0,0.0,True,www.nutrisurvey.de
D050011,kerupuk,kerupuk,376.195028464,4.0,0.0,10.315,0.0,3.279,13.0,0.092,0.0,0.244,0.0,0.0,0.521,4.495,0.0,0.0,0.0,16.0,0.0,True,www.nutrisurvey.de
D060011,Kerupuk asin kecil dan pretzel,Kerupuk asin kecil dan pretzel,347.036328672,8.998,0.0,9.0,0.0,0.5,5.0,0.01,0.0,0.4,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
D064011,Stik pretzel asin,Stik pretzel asin,347.036328672,8.998,0.0,9.0,0.0,0.5,5.0,0.01,0.0,0.4,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
D072011,kue lapis,kue lapis,417.782026528,32.376,0.0,4.027,0.0,32.385,27.0,0.025,0.0,0.845,0.0,0.0,0.282,1.538,0.0,0.0,0.0,251.0,0.0,True,www.nutrisurvey.de
D073011,kue choux,kue choux,201.481835448,63.82,0.0,6.428,0.0,12.608,23.0,0.049,0.0,0.806,0.0,0.0,0.188,0.816,0.0,0.0,0.0,153.0,0.0,True,www.nutrisurvey.de
D074011,Adonan bolu,Adonan bolu,302.103250304,34.638,0.0,7.296,0.0,10.69,16.0,0.078,0.0,0.464,0.0,0.0,0.789,2.269,0.0,0.0,0.0,95.0,0.0,True,www.nutrisurvey.de
D075011,Kue pendek,Kue pendek,479.684512152,11.914,0.0,5.113,0.0,27.512,24.0,0.032,0.0,0.744,0.0,0.0,0.361,1.998,0.0,0.0,0.0,213.0,0.0,True,www.nutrisurvey.de
D096011,tarte à l'onion,tarte à l'onion,171.128106976,64.618,0.0,6.641,0.0,7.774,125.0,0.102,0.0,0.531,0.0,0.0,0.559,1.367,0.0,0.0,0.0,95.0,0.0,True,www.nutrisurvey.de
D100000,Flans buah umum dari toko roti,Flans buah umum dari toko roti,229.206500824,51.167,0.0,2.824,0.0,8.877,11.0,0.029,0.0,0.604,0.0,0.0,0.241,2.105,0.0,0.0,0.0,70.0,0.0,True,www.nutrisurvey.de
D100200,Flan buah dengan drupe,Flan buah dengan drupe,278.919693912,48.715,0.0,3.502,0.0,16.822,21.0,0.026,0.0,0.705,0.0,0.0,0.508,1.764,0.0,0.0,0.0,193.0,0.0,True,www.nutrisurvey.de
D130011,Flan buah dengan dasar kue mentega,Flan buah dengan dasar kue mentega,213.91013372,56.213,0.0,3.43,0.0,9.545,15.0,0.029,0.0,0.617,0.0,0.0,0.166,1.591,0.0,0.0,0.0,100.0,0.0,True,www.nutrisurvey.de
D150000,Flan buah dengan dasar adonan bolu rendah lemak,Flan buah dengan dasar adonan bolu rendah lemak,144.359464544,65.653,0.0,2.827,0.0,3.431,9.0,0.039,0.0,0.349,0.0,0.0,0.339,2.137,0.0,0.0,0.0,31.0,0.0,True,www.nutrisurvey.de
D180011,Flan buah dengan bahan dasar kue pendek yang tinggi lemak,Flan buah dengan bahan dasar kue pendek yang tinggi lemak,229.206500824,51.167,0.0,2.824,0.0,8.877,11.0,0.029,0.0,0.604,0.0,0.0,0.241,2.105,0.0,0.0,0.0,70.0,0.0,True,www.nutrisurvey.de
D300011,Kembang gula kue,Kembang gula kue,247.131931024,56.446,0.0,3.901,0.0,16.089,23.0,0.029,0.0,0.693,0.0,0.0,0.186,0.928,0.0,0.0,0.0,204.0,0.0,True,www.nutrisurvey.de
D300100,Kue puding krim,Kue puding krim,316.204588728,42.993,0.0,4.096,0.0,19.411,20.0,0.026,0.0,0.653,0.0,0.0,0.157,1.18,0.0,0.0,0.0,160.0,0.0,True,www.nutrisurvey.de
D300200,Sachertorte mirip dengan kue makanan setan yang terbuat dari telur,Sachertorte mirip dengan kue makanan setan yang terbuat dari telur,337.715104968,31.232,0.0,5.842,0.0,14.477,22.0,0.033,0.0,0.851,0.0,0.0,0.199,1.792,0.0,0.0,0.0,154.0,0.0,True,www.nutrisurvey.de
D300300,Kue krim keju,Kue krim keju,208.891013264,55.163,0.0,5.905,0.0,6.235,15.0,0.03,0.0,0.518,0.0,0.0,0.086,0.205,0.0,0.172,0.0,100.0,0.0,True,www.nutrisurvey.de
D300500,Basis kue Linzertorte dilapisi dengan daging manis raspberry,Basis kue Linzertorte dilapisi dengan daging manis raspberry,417.543020792,20.278,0.0,7.535,0.0,23.564,19.0,0.05,0.0,4.71,0.0,0.0,0.817,3.723,0.0,0.0,0.0,148.0,0.0,True,www.nutrisurvey.de
D300600,Kue Black Forest Schwarzwälder Kirschtorte - krim,Kue Black Forest Schwarzwälder Kirschtorte - krim,247.131931024,56.446,0.0,3.901,0.0,16.089,23.0,0.029,0.0,0.693,0.0,0.0,0.186,0.928,0.0,0.0,0.0,204.0,0.0,True,www.nutrisurvey.de
D310411,Gulungan kue bolu,Gulungan kue bolu,272.944550512,34.548,0.0,3.986,0.0,2.568,12.0,0.024,0.0,0.491,0.0,0.0,0.121,0.809,0.0,0.0,0.0,60.0,0.0,True,www.nutrisurvey.de
D311211,Kue bolu krim mentega,Kue bolu krim mentega,316.204588728,42.993,0.0,4.096,0.0,19.411,20.0,0.026,0.0,0.653,0.0,0.0,0.157,1.18,0.0,0.0,0.0,160.0,0.0,True,www.nutrisurvey.de
D314611,Kue bolu dengan buah,Kue bolu dengan buah,157.50478002399998,60.444,0.0,4.018,0.0,1.884,15.0,0.031,0.0,0.907,0.0,0.0,0.65,2.08,0.0,0.0,0.0,87.0,0.0,True,www.nutrisurvey.de
D400011,Toko roti kue,Toko roti kue,376.673039936,22.231,0.0,5.924,0.0,14.883,16.0,0.033,0.0,0.44,0.0,0.0,0.429,2.15,0.0,0.0,0.0,114.0,0.0,True,www.nutrisurvey.de
D400500,kue kacang,kue kacang,456.022944288,19.957,0.0,8.768,0.0,31.605,25.0,0.061,0.0,6.349,0.0,0.0,1.007,4.073,0.0,0.0,0.0,198.0,0.0,True,www.nutrisurvey.de
D401411,Roti jahe,Roti jahe,304.7323134,24.282,0.0,4.285,0.0,1.27,8.0,0.023,0.0,0.08,0.0,0.0,0.301,1.82,0.0,0.347,0.0,6.0,0.0,True,www.nutrisurvey.de
D430011,Kue dari adonan kue mentega,Kue dari adonan kue mentega,360.89866136,26.21,0.0,6.291,0.0,15.818,24.0,0.046,0.0,1.524,0.0,0.0,0.421,2.487,0.0,0.157,0.0,140.0,0.0,True,www.nutrisurvey.de
D431111,Kue marmer dari adonan kue mentega,Kue marmer dari adonan kue mentega,391.491395568,26.801,0.0,6.212,0.0,21.7,27.0,0.033,0.0,0.934,0.0,0.0,0.251,1.585,0.0,0.0,0.0,209.0,0.0,True,www.nutrisurvey.de
D431411,Donau-Wellen dari adonan kue mentega,Donau-Wellen dari adonan kue mentega,312.619502688,42.889,0.0,4.196,0.0,19.148,21.0,0.028,0.0,0.655,0.0,0.0,0.243,1.83,0.0,0.0,0.0,161.0,0.0,True,www.nutrisurvey.de
D440311,Kue dari adonan yang mengandung bubuk pati dalam jumlah yang sama,Kue dari adonan yang mengandung bubuk pati dalam jumlah yang sama,440.248565712,21.879,0.0,5.285,0.0,26.841,30.0,0.031,0.0,0.996,0.0,0.0,0.152,0.735,0.0,0.0,0.0,228.0,0.0,True,www.nutrisurvey.de
D441311,Cincin besar Frankfurter Kranz dari adonan berisi,Cincin besar Frankfurter Kranz dari adonan berisi,363.527724456,36.574,0.0,4.884,0.0,24.05,21.0,0.036,0.0,2.569,0.0,0.0,0.386,1.476,0.0,0.0,0.0,174.0,0.0,True,www.nutrisurvey.de
D450200,Flans dari adonan bolu rendah lemak dengan taburan,Flans dari adonan bolu rendah lemak dengan taburan,301.864244568,32.821,0.0,7.483,0.0,9.07,24.0,0.054,0.0,0.671,0.0,0.0,0.471,2.552,0.0,0.0,0.0,126.0,0.0,True,www.nutrisurvey.de
D450300,Kue dan roti dari adonan bolu rendah lemak dengan kismis,Kue dan roti dari adonan bolu rendah lemak dengan kismis,301.864244568,32.821,0.0,7.483,0.0,9.07,24.0,0.054,0.0,0.671,0.0,0.0,0.471,2.552,0.0,0.0,0.0,126.0,0.0,True,www.nutrisurvey.de
D451111,Anyaman ragi dari adonan bolu rendah lemak,Anyaman ragi dari adonan bolu rendah lemak,301.864244568,32.821,0.0,7.483,0.0,9.07,24.0,0.054,0.0,0.671,0.0,0.0,0.471,2.552,0.0,0.0,0.0,126.0,0.0,True,www.nutrisurvey.de
D452111,Diisi irisan cincin besar dari adonan bolu rendah lemak,Diisi irisan cincin besar dari adonan bolu rendah lemak,359.464626944,23.833,0.0,5.671,0.0,13.641,20.0,0.047,0.0,1.405,0.0,0.0,0.528,2.822,0.0,0.0,0.0,101.0,0.0,True,www.nutrisurvey.de
D461311,Campuran mentega-susu-biji minyak pada adonan bolu,Campuran mentega-susu-biji minyak pada adonan bolu,300.430210152,42.218,0.0,5.693,0.0,16.157,14.0,0.042,0.0,2.498,0.0,0.0,0.536,2.073,0.0,0.0,0.0,117.0,0.0,True,www.nutrisurvey.de
D461411,Kue tube-pan Gugelhupf dari adonan bolu tinggi lemak,Kue tube-pan Gugelhupf dari adonan bolu tinggi lemak,349.665391768,29.952,0.0,6.414,0.0,16.849,22.0,0.06,0.0,1.535,0.0,0.0,0.697,2.761,0.0,0.0,0.0,132.0,0.0,True,www.nutrisurvey.de
D463111,Roti buah Dresden dari adonan bolu tinggi lemak,Roti buah Dresden dari adonan bolu tinggi lemak,408.460802824,20.715,0.0,5.713,0.0,21.785,25.0,0.064,0.0,1.869,0.0,0.0,0.863,3.393,0.0,0.0,0.0,151.0,0.0,True,www.nutrisurvey.de
D463711,Roti marzipan dari adonan bolu tinggi lemak,Roti marzipan dari adonan bolu tinggi lemak,389.101338208,21.219,0.0,5.945,0.0,18.713,21.0,0.06,0.0,3.858,0.0,0.0,0.831,4.133,0.0,0.566,0.0,101.0,0.0,True,www.nutrisurvey.de
D464211,Cincin kacang dari adonan bolu tinggi lemak,Cincin kacang dari adonan bolu tinggi lemak,364.005735928,25.74,0.0,5.897,0.0,15.701,10.0,0.075,0.0,3.84,0.0,0.0,0.597,2.35,0.0,0.0,0.0,61.0,0.0,True,www.nutrisurvey.de
D464511,Cincin biji poppy dari adonan bolu tinggi lemak,Cincin biji poppy dari adonan bolu tinggi lemak,334.6080304,28.679,0.0,7.363,0.0,13.854,11.0,0.124,0.0,1.551,0.0,0.0,0.636,4.323,0.0,0.796,0.0,67.0,0.0,True,www.nutrisurvey.de
D480211,Kue keju dengan dasar kue pendek,Kue keju dengan dasar kue pendek,276.290630816,46.984,0.0,8.839,0.0,14.127,22.0,0.04,0.0,0.734,0.0,0.0,0.212,0.909,0.0,0.111,0.0,151.0,0.0,True,www.nutrisurvey.de
D540211,Strudel apel,Strudel apel,165.152963576,62.566,0.0,2.193,0.0,5.593,7.0,0.034,0.0,0.863,0.0,0.0,0.284,2.502,0.0,0.0,0.0,32.0,0.0,True,www.nutrisurvey.de
D540411,Strudel krim-keju,Strudel krim-keju,223.948374632,51.951,0.0,9.503,0.0,7.953,15.0,0.038,0.0,0.281,0.0,0.0,0.254,1.224,0.0,0.0,0.0,84.0,0.0,True,www.nutrisurvey.de
D600011,Kue kecil dari jenis adonan khusus,Kue kecil dari jenis adonan khusus,479.923517888,2.0,0.0,9.976,0.0,21.213,39.0,0.138,0.0,0.708,0.0,0.0,0.597,2.705,0.0,0.0,0.0,173.0,0.0,True,www.nutrisurvey.de
D610211,meringue,meringue,364.244741664,10.0,0.0,5.573,0.0,0.1,0.0,0.008,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,True,www.nutrisurvey.de
D621000,Wafel,Wafel,554.015296048,9.923,0.0,6.158,0.0,40.715,50.0,0.042,0.0,1.555,0.0,0.0,0.173,0.82,0.0,0.0,0.0,426.0,0.0,True,www.nutrisurvey.de
D630411,Biskuit mentega,Biskuit mentega,479.923517888,2.0,0.0,9.976,0.0,21.213,39.0,0.138,0.0,0.708,0.0,0.0,0.597,2.705,0.0,0.0,0.0,173.0,0.0,True,www.nutrisurvey.de
D650000,Barang roti dari adonan lebkuchen,Barang roti dari adonan lebkuchen,412.762906072,15.197,0.0,8.771,0.0,19.806,9.0,0.077,0.0,8.781,0.0,0.0,1.389,5.167,0.0,0.0,0.0,151.0,0.0,True,www.nutrisurvey.de
D651300,Cetak biskuit lebkuchen coklat,Cetak biskuit lebkuchen coklat,465.583173728,3.0,0.0,8.052,0.0,21.253,8.0,0.1,0.0,5.948,0.0,0.0,0.699,5.473,0.0,0.0,0.0,40.0,0.0,True,www.nutrisurvey.de
